,count
University of Illinois Urbana-Champaign,1
tongji university,1
Sharif University of Technology,1
University of Dayton,1
Vellore Institute of Technology,1
Virginia Military Institute,1
Delhi College of Engineering,1
"College of Engineering Pune, India",1
Sun Yat-sen University,1
UIUC ,1
"National Chiao Tung University, Taiwan",1
University of Minnesota - Twin Cities,1
Shanghai University,1
Xian Jiaotong University,1
University of Science and Technology of China,1
San Jose State University,1
South China University of Technology,1
NTU,1
Wuhan University,1
Bogazici University,1
National Chiao Tung University,1
Birla institute of technology and science,1
University of electronic science and technology of China ,1
"National Institute of Technology Karnataka, India",1
BJTU,1
Beijing Jiaotong University,1
Bilkent University,1
Xiamen University,1
ECUST,1
"BITS Pilani,India",1
HIT,1
not grad student,1
"National Institute of Technology, Trichy, India",1
Nanjing University,1
Undergraduate,1
Caltech,1
Beijing University of Technology,1
Nankai University,1
North China Electric Power University,1
The Hong Kong Polytechnic University,1
Beijing University of  Posts and Telecommunications,1
ZJU,1
Lanzhou University,1
"Tsinghua University, China",1
BEIJING INSTITUTE OF TECHNOLOGY,1
University of Pune,1
Sichuan University ,1
UCSD ece photonics,1
UCLA,1
"National institute of technology karnataka, Suratkal, India",1
Tianjin University in China,1
University of Houston,1
Indian Institute of Technology Bombay,1
Purdue ,1
"IIEST Shibpur, India",1
Anna University,1
"R. V. College Of Engineering, India",1
"Indian Institute of Technology (IIT), Delhi",1
Penn State,1
Northwestern Polytechnical University,1
UC Davis,1
"Manipal Institute of Technology, Manipal",1
Soochow University,1
PolyU,1
N/a,1
SJTU,1
Washington University in St. Louis,1
"USTC, China",1
Northeastern University ,1
"Tongji University, China",1
"BITS PILANI, INDIA",1
Tel Aviv University,1
SUSTech,1
pku,1
sjtu,1
"Universidade de Sao Paulo, Brazil and Ecole Centrale Paris, France",1
"Punjab engineering college, Chandigarh, India",1
R V College of Engineering,1
Undergrad,1
Tianjin University (China),1
National Chiao Tung University(NCTU),1
NUAA,1
Nanjing Normal University,1
Na,1
"BUPT, China",1
Stanford University,1
Central South University (China),1
Huazhong University of Science and Technology,1
"BITS Pilani, India",1
University of Chinese Academy of Sciences,1
"Uttar Pradesh Technical University, India",1
 ohio state University,1
"National Chiao Tung University, Taiwan (R.O.C.)",1
University of Virginia,1
Jiangsu University,1
Undergraduate Student,1
Sharif University,1
Beijing University of Technology ,1
Beihang University ,1
Sharif University of Technology ,1
Beijing University of Posts and Telecommunications,2
Beihang University,2
Indian Institute of Technology Indore,2
National Tsing Hua University,2
University of Electronic Science&Technology of China,2
Huazhong University of Science and Technology ,2
UCSB,2
Purdue University,2
UIUC,2
Tongji University,2
"Anna University, India",2
Tianjin University,3
National Taiwan University,3
BUPT,3
BITS Pilani,3
Beijing Institute of Technology,3
HUST,4
Tsinghua University,4
Fudan University,4
Shanghai Jiao Tong University,4
UESTC,5
University of Electronic Science and Technology of China,5
Zhejiang University,7
UCSD,18
,298
